date,avg_top_2,avg_bottom_2,daily_spread,spread_30d_ma
2024-10-02,132.885,66.595,66.28999999999999,135.02383333333333
2024-10-03,112.695,36.56,76.13499999999999,120.73049999999999
2024-10-04,145.22,72.05,73.17,117.676
2024-10-05,145.965,41.185,104.78,116.76833333333333
2024-10-06,101.75999999999999,-0.01,101.77,116.18599999999999
2024-10-07,233.59,31.7,201.89000000000001,118.21666666666665
2024-10-08,162.485,59.68,102.805,117.43983333333334
2024-10-09,124.825,50.605000000000004,74.22,117.0295
2024-10-10,110.255,17.975,92.28,116.021
2024-10-11,171.05,58.365,112.685,116.20216666666667
2024-10-12,79.24000000000001,-0.005,79.245,112.29066666666667
2024-10-13,47.09,-15.425,62.515,111.93149999999999
2024-10-14,263.42,34.765,228.65500000000003,115.47066666666666
2024-10-15,181.0,18.075000000000003,162.925,116.61083333333335
2024-10-16,86.425,2.6,83.825,117.33183333333334
2024-10-17,179.2,7.8100000000000005,171.39,119.64399999999999
2024-10-18,168.76,79.52000000000001,89.23999999999998,118.034
2024-10-19,127.375,55.235,72.14,115.8105
2024-10-20,71.8,-1.4949999999999999,73.295,113.46849999999999
2024-10-21,206.49,-0.11000000000000001,206.60000000000002,115.74183333333333
2024-10-22,163.935,72.205,91.73,113.97483333333334
2024-10-23,200.655,79.97999999999999,120.67500000000001,111.07516666666668
2024-10-24,159.78,79.72,80.06,110.8155
2024-10-25,206.08499999999998,78.935,127.14999999999998,109.82483333333334
2024-10-26,138.45,63.925,74.52499999999999,109.40533333333333
2024-10-27,147.005,39.995000000000005,107.00999999999999,110.724
2024-10-28,147.46,85.17500000000001,62.285,109.527
2024-10-29,271.62,98.5,173.12,109.95
2024-10-30,193.385,98.10499999999999,95.28,110.09533333333334
2024-10-31,134.5,63.95,70.55,107.94133333333335
2024-11-01,118.92,30.765,88.155,108.67016666666667
2024-11-02,154.24,86.425,67.81500000000001,108.39283333333333
2024-11-03,127.0,56.705,70.295,108.297
2024-11-04,265.625,89.91,175.715,110.6615
2024-11-05,487.025,92.1,394.92499999999995,120.43333333333334
2024-11-06,812.595,96.255,716.34,137.58166666666668
2024-11-07,352.52,99.655,252.86499999999998,142.5836666666667
2024-11-08,132.905,97.57,35.33500000000001,141.2875
2024-11-09,147.365,97.34,50.025000000000006,139.879
2024-11-10,147.365,100.59,46.775000000000006,137.682
2024-11-11,150.135,97.68,52.454999999999984,136.78900000000002
2024-11-12,295.31,103.34,191.97,141.10416666666666
2024-11-13,226.44,104.16,122.28,137.55833333333334
2024-11-14,155.0,91.82499999999999,63.17500000000001,134.23333333333332
2024-11-15,154.315,100.00999999999999,54.30500000000001,133.24933333333334
2024-11-16,116.94,69.245,47.69499999999999,129.12616666666668
2024-11-17,91.77000000000001,38.405,53.36500000000001,127.93033333333332
2024-11-18,160.86,50.28,110.58000000000001,129.21166666666667
2024-11-19,156.915,90.785,66.13,128.97283333333334
2024-11-20,142.72500000000002,81.74,60.98500000000003,124.119
2024-11-21,178.615,84.19,94.42500000000001,124.20883333333335
2024-11-22,142.83,78.5,64.33000000000001,122.33066666666667
2024-11-23,101.015,9.735000000000001,91.28,122.70466666666667
2024-11-24,15.85,-0.65,16.5,119.01633333333332
2024-11-25,123.0,-1.725,124.725,120.68966666666668
2024-11-26,158.215,71.63499999999999,86.58000000000001,120.00866666666667
2024-11-27,174.64499999999998,48.995000000000005,125.64999999999998,122.12083333333334
2024-11-28,156.07,31.884999999999998,124.185,120.48966666666668
2024-11-29,175.315,100.815,74.5,119.79700000000001
2024-11-30,136.42000000000002,85.66,50.76000000000002,119.13733333333333
2024-12-01,121.52000000000001,78.57499999999999,42.94500000000002,117.63033333333334
2024-12-02,147.79000000000002,48.325,99.46500000000002,118.68533333333335
2024-12-03,207.59,94.75,112.84,120.1035
2024-12-04,282.21000000000004,111.225,170.98500000000004,119.94583333333334
2024-12-05,142.415,26.89,115.52499999999999,110.63250000000001
2024-12-06,147.03,2.6500000000000004,144.38,91.56716666666668
2024-12-07,96.225,41.370000000000005,54.85499999999999,84.96683333333335
